dataset,pair,a,b,cosine_mean,cosine_std
truthfulqa,combination:repeat_prompt || detectable_content:number_placeholders,combination:repeat_prompt,detectable_content:number_placeholders,0.8830564244811864,0.020713325824648812
truthfulqa,combination:repeat_prompt || detectable_format:number_highlighted_sections,combination:repeat_prompt,detectable_format:number_highlighted_sections,0.8944556397381667,0.019902113657266223
truthfulqa,combination:repeat_prompt || detectable_format:title,combination:repeat_prompt,detectable_format:title,0.8409097494559902,0.03749687858168306
truthfulqa,combination:repeat_prompt || punctuation:no_comma,combination:repeat_prompt,punctuation:no_comma,0.8097068244916676,0.03345791063645144
truthfulqa,detectable_content:number_placeholders || detectable_format:number_highlighted_sections,detectable_content:number_placeholders,detectable_format:number_highlighted_sections,0.8955324034278951,0.009607401189535323
truthfulqa,detectable_content:number_placeholders || detectable_format:title,detectable_content:number_placeholders,detectable_format:title,0.8943861039316344,0.005743630318246926
truthfulqa,detectable_content:number_placeholders || punctuation:no_comma,detectable_content:number_placeholders,punctuation:no_comma,0.8600903666947145,0.024396049043814535
truthfulqa,detectable_format:number_highlighted_sections || detectable_format:title,detectable_format:number_highlighted_sections,detectable_format:title,0.8895430412870547,0.016057364979001107
truthfulqa,detectable_format:number_highlighted_sections || punctuation:no_comma,detectable_format:number_highlighted_sections,punctuation:no_comma,0.8573492258552021,0.02358939400102233
truthfulqa,detectable_format:title || punctuation:no_comma,detectable_format:title,punctuation:no_comma,0.8565820285704929,0.03058760170087755
hellaswag,combination:repeat_prompt || detectable_content:number_placeholders,combination:repeat_prompt,detectable_content:number_placeholders,0.9335308338763113,0.017670310582421748
hellaswag,combination:repeat_prompt || detectable_format:number_highlighted_sections,combination:repeat_prompt,detectable_format:number_highlighted_sections,0.9347055647365108,0.021642744997132566
hellaswag,combination:repeat_prompt || detectable_format:title,combination:repeat_prompt,detectable_format:title,0.9275064027095569,0.0323471232043211
hellaswag,combination:repeat_prompt || punctuation:no_comma,combination:repeat_prompt,punctuation:no_comma,0.8821028457882965,0.049354967441948394
hellaswag,detectable_content:number_placeholders || detectable_format:number_highlighted_sections,detectable_content:number_placeholders,detectable_format:number_highlighted_sections,0.9307816660666377,0.01229977327900763
hellaswag,detectable_content:number_placeholders || detectable_format:title,detectable_content:number_placeholders,detectable_format:title,0.9329467528796841,0.016462523595179576
hellaswag,detectable_content:number_placeholders || punctuation:no_comma,detectable_content:number_placeholders,punctuation:no_comma,0.8964923178848081,0.03624505810985594
hellaswag,detectable_format:number_highlighted_sections || detectable_format:title,detectable_format:number_highlighted_sections,detectable_format:title,0.9338153825022639,0.018117294923075577
hellaswag,detectable_format:number_highlighted_sections || punctuation:no_comma,detectable_format:number_highlighted_sections,punctuation:no_comma,0.9049975277712018,0.030323073277398905
hellaswag,detectable_format:title || punctuation:no_comma,detectable_format:title,punctuation:no_comma,0.9093154108144049,0.034683473079404045
